Park Name,fullName_manual,parkCode_manual
Big South Fork National River And Recreation Area,Big South Fork National River & Recreation Area,biso
Canyon De Chelly National Monument,Canyon de Chelly National Monument,cach
Castillo De San Marcos National Monument,Castillo de San Marcos National Monument,casa
George Washington Birthplace,George Washington Birthplace National Monument,gewa
Haleakala National Park,Haleakalā National Park,hale
Hawaii Volcanoes National Park,Hawaiʻi Volcanoes National Park,havo
Jean Lafitte National Historical Park & Preserve,Jean Lafitte National Historical Park and Preserve,jela
Kaloko-Honokohau National Historical Park,Kaloko-Honokōhau National Historical Park,kaho
National Mall & Memorial Parks,National Mall and Memorial Parks,nama
New River Gorge National River,New River Gorge National Park and Preserve,neri
Not Reported,Not Reported,
President'S Park (White House),President's Park (White House),whho
Presidio Of San Francisco,Presidio of San Francisco,prsf
Redwood National And State Parks,Redwood National and State Parks,redw
Suitland,Suitland Parkway (under National Capital Parks–East),nace
Wilson'S Creek National Battlefield,Wilson's Creek National Battlefield,wicr
Wrangell - St Elias National Park & Reserve,Wrangell–St. Elias National Park & Preserve,wrst
Yorktown Battlefield Part Of Colonial National Historical Park,"Yorktown Battlefield, Colonial National Historical Park",colo
